,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
88,Argentina,"Rice, paddy",1995,50306,591,37842,17.62
89,Argentina,Sorghum,1995,34588,591,37842,17.74
90,Argentina,Sorghum,1995,34588,591,37842,17.62
91,Argentina,Soybeans,1995,20446,591,37842,17.74
92,Argentina,Soybeans,1995,20446,591,37842,17.62
93,Argentina,Sweet potatoes,1995,168000,591,37842,17.74
94,Argentina,Sweet potatoes,1995,168000,591,37842,17.62
95,Argentina,Wheat,1995,21675,591,37842,17.74
96,Argentina,Wheat,1995,21675,591,37842,17.62
97,Argentina,Cassava,1996,100000,591,54595,17.64
98,Argentina,Cassava,1996,100000,591,54595,17.97
99,Argentina,Maize,1996,40397,591,54595,17.64
100,Argentina,Maize,1996,40397,591,54595,17.97
101,Argentina,Potatoes,1996,228877,591,54595,17.64
102,Argentina,Potatoes,1996,228877,591,54595,17.97
103,Argentina,"Rice, paddy",1996,51031,591,54595,17.64
104,Argentina,"Rice, paddy",1996,51031,591,54595,17.97
105,Argentina,Sorghum,1996,38763,591,54595,17.64
106,Argentina,Sorghum,1996,38763,591,54595,17.97
107,Argentina,Soybeans,1996,21051,591,54595,17.64
108,Argentina,Soybeans,1996,21051,591,54595,17.97
109,Argentina,Sweet potatoes,1996,170000,591,54595,17.64
110,Argentina,Sweet potatoes,1996,170000,591,54595,17.97
111,Argentina,Wheat,1996,19344,591,54595,17.64
112,Argentina,Wheat,1996,19344,591,54595,17.97
113,Argentina,Cassava,1997,100000,591,77691,18.29
114,Argentina,Cassava,1997,100000,591,77691,18.54
115,Argentina,Maize,1997,45557,591,77691,18.29
116,Argentina,Maize,1997,45557,591,77691,18.54
117,Argentina,Potatoes,1997,268502,591,77691,18.29
118,Argentina,Potatoes,1997,268502,591,77691,18.54
119,Argentina,"Rice, paddy",1997,53703,591,77691,18.29
120,Argentina,"Rice, paddy",1997,53703,591,77691,18.54
121,Argentina,Sorghum,1997,36845,591,77691,18.29
122,Argentina,Sorghum,1997,36845,591,77691,18.54
123,Argentina,Soybeans,1997,17212,591,77691,18.29
124,Argentina,Soybeans,1997,17212,591,77691,18.54
125,Argentina,Sweet potatoes,1997,145662,591,77691,18.29
126,Argentina,Sweet potatoes,1997,145662,591,77691,18.54
127,Argentina,Wheat,1997,22426,591,77691,18.29
128,Argentina,Wheat,1997,22426,591,77691,18.54
129,Argentina,Cassava,1998,100000,591,62397,17.23
130,Argentina,Cassava,1998,100000,591,62397,17.52
131,Argentina,Maize,1998,60780,591,62397,17.23
132,Argentina,Maize,1998,60780,591,62397,17.52
133,Argentina,Potatoes,1998,293744,591,62397,17.23
134,Argentina,Potatoes,1998,293744,591,62397,17.52
135,Argentina,"Rice, paddy",1998,47762,591,62397,17.23
136,Argentina,"Rice, paddy",1998,47762,591,62397,17.52
137,Argentina,Sorghum,1998,48105,591,62397,17.23
138,Argentina,Sorghum,1998,48105,591,62397,17.52
139,Argentina,Soybeans,1998,26937,591,62397,17.23
140,Argentina,Soybeans,1998,26937,591,62397,17.52
141,Argentina,Sweet potatoes,1998,175055,591,62397,17.23
142,Argentina,Sweet potatoes,1998,175055,591,62397,17.52
143,Argentina,Wheat,1998,26088,591,62397,17.23
144,Argentina,Wheat,1998,26088,591,62397,17.52
145,Argentina,Cassava,1999,100000,591,62831.39,17.15
146,Argentina,Cassava,1999,100000,591,62831.39,17.71
147,Argentina,Maize,1999,53702,591,62831.39,17.15
148,Argentina,Maize,1999,53702,591,62831.39,17.71
149,Argentina,Potatoes,1999,238938,591,62831.39,17.15
150,Argentina,Potatoes,1999,238938,591,62831.39,17.71
151,Argentina,"Rice, paddy",1999,57337,591,62831.39,17.15
152,Argentina,"Rice, paddy",1999,57337,591,62831.39,17.71
153,Argentina,Sorghum,1999,43845,591,62831.39,17.15
154,Argentina,Sorghum,1999,43845,591,62831.39,17.71
155,Argentina,Soybeans,1999,24450,591,62831.39,17.15
156,Argentina,Soybeans,1999,24450,591,62831.39,17.71
157,Argentina,Sweet potatoes,1999,143991,591,62831.39,17.15
158,Argentina,Sweet potatoes,1999,143991,591,62831.39,17.71
159,Argentina,Wheat,1999,23028,591,62831.39,17.15
160,Argentina,Wheat,1999,23028,591,62831.39,17.71
161,Argentina,Cassava,2000,100000,591,63265.78,16.98
162,Argentina,Cassava,2000,100000,591,63265.78,17.66
163,Argentina,Maize,2000,54329,591,63265.78,16.98
164,Argentina,Maize,2000,54329,591,63265.78,17.66
165,Argentina,Potatoes,2000,277566,591,63265.78,16.98
166,Argentina,Potatoes,2000,277566,591,63265.78,17.66
167,Argentina,"Rice, paddy",2000,47798,591,63265.78,16.98
168,Argentina,"Rice, paddy",2000,47798,591,63265.78,17.66
169,Argentina,Sorghum,2000,46477,591,63265.78,16.98
170,Argentina,Sorghum,2000,46477,591,63265.78,17.66
171,Argentina,Soybeans,2000,23312,591,63265.78,16.98
172,Argentina,Soybeans,2000,23312,591,63265.78,17.66
173,Argentina,Sweet potatoes,2000,151462,591,63265.78,16.98
174,Argentina,Sweet potatoes,2000,151462,591,63265.78,17.66
175,Argentina,Wheat,2000,24873,591,63265.78,16.98
176,Argentina,Wheat,2000,24873,591,63265.78,17.66
177,Argentina,Cassava,2001,100000,591,63700.17,17.71
178,Argentina,Cassava,2001,100000,591,63700.17,18.42
179,Argentina,Maize,2001,54553,591,63700.17,17.71
180,Argentina,Maize,2001,54553,591,63700.17,18.42
181,Argentina,Potatoes,2001,283768,591,63700.17,17.71
182,Argentina,Potatoes,2001,283768,591,63700.17,18.42
183,Argentina,"Rice, paddy",2001,57495,591,63700.17,17.71
184,Argentina,"Rice, paddy",2001,57495,591,63700.17,18.42
185,Argentina,Sorghum,2001,47429,591,63700.17,17.71
186,Argentina,Sorghum,2001,47429,591,63700.17,18.42
187,Argentina,Soybeans,2001,25846,591,63700.17,17.71
188,Argentina,Soybeans,2001,25846,591,63700.17,18.42
189,Argentina,Sweet potatoes,2001,155212,591,63700.17,17.71
190,Argentina,Sweet potatoes,2001,155212,591,63700.17,18.42
191,Argentina,Wheat,2001,24934,591,63700.17,17.71
192,Argentina,Wheat,2001,24934,591,63700.17,18.42
193,Argentina,Cassava,2002,100000,591,64134.56,17.58
194,Argentina,Cassava,2002,100000,591,64134.56,18.07
195,Argentina,Maize,2002,60791,591,64134.56,17.58
196,Argentina,Maize,2002,60791,591,64134.56,18.07
197,Argentina,Potatoes,2002,251347,591,64134.56,17.58
198,Argentina,Potatoes,2002,251347,591,64134.56,18.07
199,Argentina,"Rice, paddy",2002,57197,591,64134.56,17.58
200,Argentina,"Rice, paddy",2002,57197,591,64134.56,18.07
201,Argentina,Sorghum,2002,52691,591,64134.56,17.58
202,Argentina,Sorghum,2002,52691,591,64134.56,18.07
203,Argentina,Soybeans,2002,26304,591,64134.56,17.58
204,Argentina,Soybeans,2002,26304,591,64134.56,18.07
205,Argentina,Sweet potatoes,2002,155890,591,64134.56,17.58
206,Argentina,Sweet potatoes,2002,155890,591,64134.56,18.07
207,Argentina,Wheat,2002,22398,591,64134.56,17.58
208,Argentina,Wheat,2002,22398,591,64134.56,18.07
209,Argentina,Cassava,2004,100000,591,65003.34,17.67
210,Argentina,Cassava,2004,100000,591,65003.34,18.11
211,Argentina,Maize,2004,63931,591,65003.34,17.67
212,Argentina,Maize,2004,63931,591,65003.34,18.11
213,Argentina,Potatoes,2004,288717,591,65003.34,17.67
214,Argentina,Potatoes,2004,288717,591,65003.34,18.11
215,Argentina,"Rice, paddy",2004,62661,591,65003.34,17.67
216,Argentina,"Rice, paddy",2004,62661,591,65003.34,18.11
217,Argentina,Sorghum,2004,45531,591,65003.34,17.67
218,Argentina,Sorghum,2004,45531,591,65003.34,18.11
219,Argentina,Soybeans,2004,22075,591,65003.34,17.67
220,Argentina,Soybeans,2004,22075,591,65003.34,18.11
221,Argentina,Sweet potatoes,2004,154867,591,65003.34,17.67
222,Argentina,Sweet potatoes,2004,154867,591,65003.34,18.11
223,Argentina,Wheat,2004,25441,591,65003.34,17.67
224,Argentina,Wheat,2004,25441,591,65003.34,18.11
225,Argentina,Cassava,2005,100000,591,65437.73,17.32
226,Argentina,Cassava,2005,100000,591,65437.73,17.83
227,Argentina,Maize,2005,73587,591,65437.73,17.32
228,Argentina,Maize,2005,73587,591,65437.73,17.83
229,Argentina,Potatoes,2005,283917,591,65437.73,17.32
230,Argentina,Potatoes,2005,283917,591,65437.73,17.83
231,Argentina,"Rice, paddy",2005,60165,591,65437.73,17.32
232,Argentina,"Rice, paddy",2005,60165,591,65437.73,17.83
233,Argentina,Sorghum,2005,51872,591,65437.73,17.32
234,Argentina,Sorghum,2005,51872,591,65437.73,17.83
235,Argentina,Soybeans,2005,27287,591,65437.73,17.32
236,Argentina,Soybeans,2005,27287,591,65437.73,17.83
237,Argentina,Sweet potatoes,2005,154472,591,65437.73,17.32
238,Argentina,Sweet potatoes,2005,154472,591,65437.73,17.83
239,Argentina,Wheat,2005,26356,591,65437.73,17.32
240,Argentina,Wheat,2005,26356,591,65437.73,17.83
241,Argentina,Cassava,2006,100000,591,65872.12,18.1
242,Argentina,Cassava,2006,100000,591,65872.12,18.35
243,Argentina,Maize,2006,59030,591,65872.12,18.1
244,Argentina,Maize,2006,59030,591,65872.12,18.35
245,Argentina,Potatoes,2006,285828,591,65872.12,18.1
246,Argentina,Potatoes,2006,285828,591,65872.12,18.35
247,Argentina,"Rice, paddy",2006,70610,591,65872.12,18.1
248,Argentina,"Rice, paddy",2006,70610,591,65872.12,18.35
249,Argentina,Sorghum,2006,46778,591,65872.12,18.1
250,Argentina,Sorghum,2006,46778,591,65872.12,18.35
251,Argentina,Soybeans,2006,26793,591,65872.12,18.1
252,Argentina,Soybeans,2006,26793,591,65872.12,18.35
253,Argentina,Sweet potatoes,2006,143478,591,65872.12,18.1
254,Argentina,Sweet potatoes,2006,143478,591,65872.12,18.35
255,Argentina,Wheat,2006,25302,591,65872.12,18.1
256,Argentina,Wheat,2006,25302,591,65872.12,18.35
257,Argentina,Cassava,2007,100000,591,81582.64,16.71
258,Argentina,Cassava,2007,100000,591,81582.64,17.14
259,Argentina,Maize,2007,76655,591,81582.64,16.71
260,Argentina,Maize,2007,76655,591,81582.64,17.14
261,Argentina,Potatoes,2007,286765,591,81582.64,16.71
262,Argentina,Potatoes,2007,286765,591,81582.64,17.14
263,Argentina,"Rice, paddy",2007,65604,591,81582.64,16.71
264,Argentina,"Rice, paddy",2007,65604,591,81582.64,17.14
265,Argentina,Sorghum,2007,47021,591,81582.64,16.71
266,Argentina,Sorghum,2007,47021,591,81582.64,17.14
267,Argentina,Soybeans,2007,29712,591,81582.64,16.71
268,Argentina,Soybeans,2007,29712,591,81582.64,17.14
269,Argentina,Sweet potatoes,2007,141667,591,81582.64,16.71
270,Argentina,Sweet potatoes,2007,141667,591,81582.64,17.14
271,Argentina,Wheat,2007,26234,591,81582.64,16.71
272,Argentina,Wheat,2007,26234,591,81582.64,17.14
273,Argentina,Cassava,2008,100000,591,87149.01,17.71
274,Argentina,Cassava,2008,100000,591,87149.01,18.39
275,Argentina,Maize,2008,64525,591,87149.01,17.71
276,Argentina,Maize,2008,64525,591,87149.01,18.39
277,Argentina,Potatoes,2008,279412,591,87149.01,17.71
278,Argentina,Potatoes,2008,279412,591,87149.01,18.39
279,Argentina,"Rice, paddy",2008,68278,591,87149.01,17.71
280,Argentina,"Rice, paddy",2008,68278,591,87149.01,18.39
281,Argentina,Sorghum,2008,47474,591,87149.01,17.71
282,Argentina,Sorghum,2008,47474,591,87149.01,18.39
283,Argentina,Soybeans,2008,28216,591,87149.01,17.71
284,Argentina,Soybeans,2008,28216,591,87149.01,18.39
285,Argentina,Sweet potatoes,2008,145105,591,87149.01,17.71
286,Argentina,Sweet potatoes,2008,145105,591,87149.01,18.39
287,Argentina,Wheat,2008,28271,591,87149.01,17.71
288,Argentina,Wheat,2008,28271,591,87149.01,18.39
289,Argentina,Cassava,2009,101695,591,61586.56,18.16
290,Argentina,Cassava,2009,101695,591,61586.56,18.09
291,Argentina,Maize,2009,55760,591,61586.56,18.16
292,Argentina,Maize,2009,55760,591,61586.56,18.09
293,Argentina,Potatoes,2009,284439,591,61586.56,18.16
294,Argentina,Potatoes,2009,284439,591,61586.56,18.09
295,Argentina,"Rice, paddy",2009,68842,591,61586.56,18.16
296,Argentina,"Rice, paddy",2009,68842,591,61586.56,18.09
297,Argentina,Sorghum,2009,38752,591,61586.56,18.16
298,Argentina,Sorghum,2009,38752,591,61586.56,18.09
299,Argentina,Soybeans,2009,18480,591,61586.56,18.16
300,Argentina,Soybeans,2009,18480,591,61586.56,18.09
301,Argentina,Sweet potatoes,2009,151208,591,61586.56,18.16
302,Argentina,Sweet potatoes,2009,151208,591,61586.56,18.09
303,Argentina,Wheat,2009,19628,591,61586.56,18.16
304,Argentina,Wheat,2009,19628,591,61586.56,18.09
305,Argentina,Cassava,2010,101000,591,105915.04,17.33
306,Argentina,Cassava,2010,101000,591,105915.04,17.84
307,Argentina,Maize,2010,78040,591,105915.04,17.33
308,Argentina,Maize,2010,78040,591,105915.04,17.84
309,Argentina,Potatoes,2010,289849,591,105915.04,17.33
310,Argentina,Potatoes,2010,289849,591,105915.04,17.84
311,Argentina,"Rice, paddy",2010,57646,591,105915.04,17.33
312,Argentina,"Rice, paddy",2010,57646,591,105915.04,17.84
313,Argentina,Sorghum,2010,48163,591,105915.04,17.33
314,Argentina,Sorghum,2010,48163,591,105915.04,17.84
315,Argentina,Soybeans,2010,29053,591,105915.04,17.33
316,Argentina,Soybeans,2010,29053,591,105915.04,17.84
317,Argentina,Sweet potatoes,2010,149382,591,105915.04,17.33
318,Argentina,Sweet potatoes,2010,149382,591,105915.04,17.84
319,Argentina,Wheat,2010,27113,591,105915.04,17.33
320,Argentina,Wheat,2010,27113,591,105915.04,17.84
321,Argentina,Cassava,2011,100000,591,100424.62,17.58
322,Argentina,Cassava,2011,100000,591,100424.62,17.93
323,Argentina,Maize,2011,63503,591,100424.62,17.58
324,Argentina,Maize,2011,63503,591,100424.62,17.93
325,Argentina,Potatoes,2011,286657,591,100424.62,17.58
326,Argentina,Potatoes,2011,286657,591,100424.62,17.93
327,Argentina,"Rice, paddy",2011,67901,591,100424.62,17.58
328,Argentina,"Rice, paddy",2011,67901,591,100424.62,17.93
329,Argentina,Sorghum,2011,44029,591,100424.62,17.58
330,Argentina,Sorghum,2011,44029,591,100424.62,17.93
331,Argentina,Soybeans,2011,26053,591,100424.62,17.58
332,Argentina,Soybeans,2011,26053,591,100424.62,17.93
333,Argentina,Sweet potatoes,2011,148754,591,100424.62,17.58
334,Argentina,Sweet potatoes,2011,148754,591,100424.62,17.93
335,Argentina,Wheat,2011,35063,591,100424.62,17.58
336,Argentina,Wheat,2011,35063,591,100424.62,17.93
337,Argentina,Cassava,2012,100000,591,136185.08,18.18
338,Argentina,Cassava,2012,100000,591,136185.08,18.43
339,Argentina,Maize,2012,57346,591,136185.08,18.18
340,Argentina,Maize,2012,57346,591,136185.08,18.43
341,Argentina,Potatoes,2012,287821,591,136185.08,18.18
342,Argentina,Potatoes,2012,287821,591,136185.08,18.43
343,Argentina,"Rice, paddy",2012,66617,591,136185.08,18.18
344,Argentina,"Rice, paddy",2012,66617,591,136185.08,18.43
345,Argentina,Sorghum,2012,46534,591,136185.08,18.18
346,Argentina,Sorghum,2012,46534,591,136185.08,18.43
347,Argentina,Soybeans,2012,22814,591,136185.08,18.18
348,Argentina,Soybeans,2012,22814,591,136185.08,18.43
349,Argentina,Sweet potatoes,2012,148126,591,136185.08,18.18
350,Argentina,Sweet potatoes,2012,148126,591,136185.08,18.43
351,Argentina,Wheat,2012,32199,591,136185.08,18.18
352,Argentina,Wheat,2012,32199,591,136185.08,18.43
353,Argentina,Cassava,2013,99459,591,171945.54,16.45
354,Argentina,Cassava,2013,99459,591,171945.54,16.88
355,Argentina,Maize,2013,66037,591,171945.54,16.45
356,Argentina,Maize,2013,66037,591,171945.54,16.88
357,Argentina,Potatoes,2013,288984,591,171945.54,16.45
358,Argentina,Potatoes,2013,288984,591,171945.54,16.88
359,Argentina,"Rice, paddy",2013,67187,591,171945.54,16.45
360,Argentina,"Rice, paddy",2013,67187,591,171945.54,16.88
361,Argentina,Sorghum,2013,40852,591,171945.54,16.45
362,Argentina,Sorghum,2013,40852,591,171945.54,16.88
363,Argentina,Soybeans,2013,25391,591,171945.54,16.45
364,Argentina,Soybeans,2013,25391,591,171945.54,16.88
365,Argentina,Sweet potatoes,2013,147498,591,171945.54,16.45
366,Argentina,Sweet potatoes,2013,147498,591,171945.54,16.88
367,Argentina,Wheat,2013,26581,591,171945.54,16.45
368,Argentina,Wheat,2013,26581,591,171945.54,16.88
369,Australia,Maize,1990,41821,534,17866,16.8
370,Australia,Maize,1990,41821,534,17866,20.06
371,Australia,Maize,1990,41821,534,17866,12.11
372,Australia,Maize,1990,41821,534,17866,14.16
373,Australia,Maize,1990,41821,534,17866,18.05
374,Australia,Maize,1990,41821,534,17866,17.47
375,Australia,Potatoes,1990,289832,534,17866,16.8
376,Australia,Potatoes,1990,289832,534,17866,20.06
377,Australia,Potatoes,1990,289832,534,17866,12.11
378,Australia,Potatoes,1990,289832,534,17866,14.16
379,Australia,Potatoes,1990,289832,534,17866,18.05
380,Australia,Potatoes,1990,289832,534,17866,17.47
381,Australia,"Rice, paddy",1990,88000,534,17866,16.8
382,Australia,"Rice, paddy",1990,88000,534,17866,20.06
383,Australia,"Rice, paddy",1990,88000,534,17866,12.11
384,Australia,"Rice, paddy",1990,88000,534,17866,14.16
385,Australia,"Rice, paddy",1990,88000,534,17866,18.05
386,Australia,"Rice, paddy",1990,88000,534,17866,17.47
387,Australia,Sorghum,1990,24883,534,17866,16.8
388,Australia,Sorghum,1990,24883,534,17866,20.06
389,Australia,Sorghum,1990,24883,534,17866,12.11
390,Australia,Sorghum,1990,24883,534,17866,14.16
391,Australia,Sorghum,1990,24883,534,17866,18.05
392,Australia,Sorghum,1990,24883,534,17866,17.47
393,Australia,Soybeans,1990,15718,534,17866,16.8
394,Australia,Soybeans,1990,15718,534,17866,20.06
395,Australia,Soybeans,1990,15718,534,17866,12.11
396,Australia,Soybeans,1990,15718,534,17866,14.16
397,Australia,Soybeans,1990,15718,534,17866,18.05
398,Australia,Soybeans,1990,15718,534,17866,17.47
399,Australia,Sweet potatoes,1990,137140,534,17866,16.8
400,Australia,Sweet potatoes,1990,137140,534,17866,20.06
401,Australia,Sweet potatoes,1990,137140,534,17866,12.11
402,Australia,Sweet potatoes,1990,137140,534,17866,14.16
403,Australia,Sweet potatoes,1990,137140,534,17866,18.05
404,Australia,Sweet potatoes,1990,137140,534,17866,17.47
405,Australia,Wheat,1990,16344,534,17866,16.8
406,Australia,Wheat,1990,16344,534,17866,20.06
407,Australia,Wheat,1990,16344,534,17866,12.11
408,Australia,Wheat,1990,16344,534,17866,14.16
409,Australia,Wheat,1990,16344,534,17866,18.05
410,Australia,Wheat,1990,16344,534,17866,17.47
411,Australia,Maize,1991,39938,534,17866,16.78
412,Australia,Maize,1991,39938,534,17866,20.29
413,Australia,Maize,1991,39938,534,17866,12.22
414,Australia,Maize,1991,39938,534,17866,13.77
415,Australia,Maize,1991,39938,534,17866,18.73
416,Australia,Maize,1991,39938,534,17866,17.85
417,Australia,Potatoes,1991,285359,534,17866,16.78
418,Australia,Potatoes,1991,285359,534,17866,20.29
419,Australia,Potatoes,1991,285359,534,17866,12.22
420,Australia,Potatoes,1991,285359,534,17866,13.77
421,Australia,Potatoes,1991,285359,534,17866,18.73
422,Australia,Potatoes,1991,285359,534,17866,17.85
423,Australia,"Rice, paddy",1991,88427,534,17866,16.78
424,Australia,"Rice, paddy",1991,88427,534,17866,20.29
425,Australia,"Rice, paddy",1991,88427,534,17866,12.22
426,Australia,"Rice, paddy",1991,88427,534,17866,13.77
427,Australia,"Rice, paddy",1991,88427,534,17866,18.73
428,Australia,"Rice, paddy",1991,88427,534,17866,17.85
429,Australia,Sorghum,1991,19865,534,17866,16.78
430,Australia,Sorghum,1991,19865,534,17866,20.29
431,Australia,Sorghum,1991,19865,534,17866,12.22
432,Australia,Sorghum,1991,19865,534,17866,13.77
433,Australia,Sorghum,1991,19865,534,17866,18.73
434,Australia,Sorghum,1991,19865,534,17866,17.85
435,Australia,Soybeans,1991,15551,534,17866,16.78
436,Australia,Soybeans,1991,15551,534,17866,20.29
437,Australia,Soybeans,1991,15551,534,17866,12.22
438,Australia,Soybeans,1991,15551,534,17866,13.77
439,Australia,Soybeans,1991,15551,534,17866,18.73
440,Australia,Soybeans,1991,15551,534,17866,17.85
441,Australia,Sweet potatoes,1991,151142,534,17866,16.78
442,Australia,Sweet potatoes,1991,151142,534,17866,20.29
443,Australia,Sweet potatoes,1991,151142,534,17866,12.22
444,Australia,Sweet potatoes,1991,151142,534,17866,13.77
445,Australia,Sweet potatoes,1991,151142,534,17866,18.73
446,Australia,Sweet potatoes,1991,151142,534,17866,17.85
447,Australia,Wheat,1991,14698,534,17866,16.78
448,Australia,Wheat,1991,14698,534,17866,20.29
449,Australia,Wheat,1991,14698,534,17866,12.22
450,Australia,Wheat,1991,14698,534,17866,13.77
451,Australia,Wheat,1991,14698,534,17866,18.73
452,Australia,Wheat,1991,14698,534,17866,17.85
453,Australia,Maize,1992,51721,534,22234,15.78
454,Australia,Maize,1992,51721,534,22234,19.79
455,Australia,Maize,1992,51721,534,22234,11.21
456,Australia,Maize,1992,51721,534,22234,13.31
457,Australia,Maize,1992,51721,534,22234,18.45
458,Australia,Maize,1992,51721,534,22234,16.89
459,Australia,Potatoes,1992,289220,534,22234,15.78
460,Australia,Potatoes,1992,289220,534,22234,19.79
461,Australia,Potatoes,1992,289220,534,22234,11.21
462,Australia,Potatoes,1992,289220,534,22234,13.31
463,Australia,Potatoes,1992,289220,534,22234,18.45
464,Australia,Potatoes,1992,289220,534,22234,16.89
465,Australia,"Rice, paddy",1992,88346,534,22234,15.78
466,Australia,"Rice, paddy",1992,88346,534,22234,19.79
467,Australia,"Rice, paddy",1992,88346,534,22234,11.21
468,Australia,"Rice, paddy",1992,88346,534,22234,13.31
469,Australia,"Rice, paddy",1992,88346,534,22234,18.45
470,Australia,"Rice, paddy",1992,88346,534,22234,16.89
471,Australia,Sorghum,1992,25431,534,22234,15.78
472,Australia,Sorghum,1992,25431,534,22234,19.79
473,Australia,Sorghum,1992,25431,534,22234,11.21
474,Australia,Sorghum,1992,25431,534,22234,13.31
475,Australia,Sorghum,1992,25431,534,22234,18.45
476,Australia,Sorghum,1992,25431,534,22234,16.89
477,Australia,Soybeans,1992,21141,534,22234,15.78
478,Australia,Soybeans,1992,21141,534,22234,19.79
479,Australia,Soybeans,1992,21141,534,22234,11.21
